alpha,seed,target,cost
0.0,AVAR,AVFL,0.8833333333333333
0.0,AVAR,CEPDL,0.7
0.0,AVAR,URADL,0.35
0.0,AVAR,PVCR,0.05
0.0,AVAR,ADEL,0.5954545454545455
0.0,AVAR,RIAR,0.29691876750700275
0.0,AVAR,AVDR,0.13392857142857142
0.0,AVAR,AVG,0.55
0.0,AVAR,SMBDR,0.4516806722689075
0.0,AVAR,RMGL,0.613095238095238
0.0,AVAR,AVAR,0.0
0.0,AVAR,VC03,0.4309523809523809
0.0,AVAR,HSNL,0.8
0.0,AVAR,HSNR,0.75
0.0,AVAR,DVA,0.3
0.0,AVAR,RIAL,0.3232345569806869
0.0,AVAR,SMDDL,0.22549019607843135
0.0,AVAR,SMDVR,0.28431372549019607
0.0,AVAR,AVAL,0.13942307692307693
0.0,AVAR,PVCL,0.05
0.0,AVAR,SMBVL,0.5
0.0,AVAR,RMGR,0.7166666666666666
0.0,AVAR,PVNR,0.4309523809523809
0.0,AVAR,SMBVR,0.3833333333333333
0.0,AVAR,RMDL,0.3611111111111111
0.0,AVAR,RIH,0.6547979797979798
0.0,AVAR,PVNL,0.7053571428571428
0.0,AVAR,PVR,0.5625
0.0,AVAR,SMDVL,0.3201745814604911
0.0,AVEL,SMDDR,0.42046238785369217
0.0,AVEL,AVFL,0.9397759103641457
0.0,AVEL,CEPDL,0.8388888888888888
0.0,AVEL,URADL,0.49215686274509807
0.0,AVEL,PVCR,0.1213235294117647
0.0,AVEL,ADEL,0.6667780748663101
0.0,AVEL,RIAR,0.4356351236146633
0.0,AVEL,AVDR,0.19735166793990322
0.0,AVEL,AVG,0.6064425770308123
0.0,AVEL,SMBDR,0.523109243697479
0.0,AVEL,RMGL,0.5
0.0,AVEL,AVAR,0.14215686274509803
0.0,AVEL,VC03,0.5022759103641457
0.0,AVEL,HSNL,0.8564425770308123
0.0,AVEL,HSNR,0.8064425770308123
0.0,AVEL,DVA,0.35644257703081234
0.0,AVEL,RIAL,0.39215686274509803
0.0,AVEL,SMDDL,0.36764705882352944
0.0,AVEL,SMDVR,0.42340686274509803
0.0,AVEL,AVAL,0.058823529411764705
0.0,AVEL,PVCL,0.10644257703081232
0.0,AVEL,SMBVL,0.5564425770308123
0.0,AVEL,RMGR,0.7731092436974789
0.0,AVEL,PVNR,0.5022759103641457
0.0,AVEL,SMBVR,0.43977591036414565
0.0,AVEL,RMDL,0.4157004830917874
0.0,AVEL,RIH,0.7112405568287922
0.0,AVEL,PVNL,0.8475140056022409
0.0,AVEL,PVR,0.6268115942028986
0.0,AVEL,SMDVL,0.45889093756815164
0.0,AVDR,SMDDR,0.34065934065934067
0.0,AVDR,AVFL,0.8625
0.0,AVDR,CEPDL,0.7192307692307691
0.0,AVDR,URADL,0.36923076923076925
0.0,AVDR,PVCR,0.06923076923076923
0.0,AVDR,ADEL,0.6146853146853146
0.0,AVDR,RIAR,0.316149536737772
0.0,AVDR,AVDR,0.0
0.0,AVDR,AVG,0.5692307692307692
0.0,AVDR,SMBDR,0.4709114414996768
0.0,AVDR,RMGL,0.47916666666666663
0.0,AVDR,AVAR,0.019230769230769232
0.0,AVDR,VC03,0.45018315018315014
0.0,AVDR,HSNL,0.8192307692307692
0.0,AVDR,HSNR,0.7692307692307692
0.0,AVDR,DVA,0.3192307692307692
0.0,AVDR,RIAL,0.3424653262114562
